"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
137;3;3;6;3;6;5;;;;;;;;;;;;;79
138;;;;3;6;4;3;3;4;6;4;5;3;5;3;5;3;;74
139;5;6;6;;;;;;;;;5;4;9;3;5;3;5;92
140;6;3;4;4;6;6;4;3;4;4;5;6;;;;;;;80
141;4;3;4;4;5;4;3;4;4;6;5;5;3;4;3;5;4;;75
142;;;;;;;;;;;6;5;3;3;6;4;3;6;83
143;4;5;4;4;;;;;;;;;;;3;4;3;6;80
144;;;;;;;;;;;4;3;3;4;4;5;3;6;77
145;4;4;5;3;5;4;6;3;3;5;;;4;3;4;5;3;5;76
146;;;;3;6;3;4;4;5;6;8;4;;;;;;;82
147;;;;3;7;4;6;3;5;6;5;4;5;3;;;;;82
148;;;;;;;;;;;;;;;3;6;5;;88
149;5;4;6;3;;;;;;;;;;3;3;5;3;3;76
150;6;4;8;7;7;6;6;4;4;7;6;6;;;;;;7;102
151;;;;;;4;4;3;;;;;;;;;;;78
152;3;5;3;4;8;;;;;5;7;5;4;7;6;6;6;8;97
153;4;5;7;;;5;6;3;4;6;6;5;4;7;4;5;3;5;89
154;5;;;;;;;;;;;;3;4;4;5;7;4;87
155;4;4;4;3;5;4;4;3;4;;4;5;3;4;3;4;3;5;71
156;;4;5;4;6;5;3;3;4;7;4;;;;;;;;79
157;4;;;;;;;;;;;;;;;;;3;77
158;;;;;;;;4;6;7;5;;;;;;;;90
159;;;;;;;5;3;4;5;4;6;4;6;4;;;;83
160;;;;;5;5;;;;;;;;;;;;;82
161;;;;;7;6;6;4;4;7;6;;;;;;;;92
162;;;;;;;;;;;;;;;;4;;;81
163;3;3;6;4;7;5;5;3;5;6;3;7;5;4;4;4;;6;84
164;4;5;;;;;;;;;;4;3;4;4;4;4;5;79
165;5;;;;;;;;;;;;4;5;3;5;3;4;81
166;7;4;7;5;9;7;4;5;4;7;6;;;;;;;;100
167;;;;;;;;;4;4;;;;;;;;;78
168;;;;;;;5;4;4;6;4;6;;;;;;;83
169;4;4;4;3;6;9;5;;;;4;5;5;5;4;7;4;6;90
170;5;5;5;4;6;5;;;;;;;7;6;7;4;3;4;93
171;;4;4;3;5;5;;;;;;;;;;;;;77
172;6;;;;;;;;;;;;;5;3;4;3;4;80
173;;;;;;;;;;;;;;3;4;4;4;;79
174;5;4;4;3;;;;;;;;;;;;;;3;75
175;4;4;4;3;;;4;3;4;5;4;5;3;4;3;4;3;5;72
176;4;3;5;4;;;;3;5;6;6;5;4;5;3;5;3;3;79
177;3;4;3;3;6;6;6;;;;;;;;;;;7;83
178;;4;;;;;;;;;;;;;;;;;82
179;5;;;;;;4;6;4;5;5;5;4;5;3;5;3;4;82
180;6;5;4;;;;;;;;;;4;5;4;4;4;6;87
181;4;4;3;4;5;;;;;;;;;;;;;4;75
182;;;;;;;;;;;;;4;6;3;5;;;85
183;6;4;5;3;6;4;5;4;5;6;4;7;;;;;;4;84
184;6;4;5;4;5;5;4;5;6;7;;;;;;;;;89
185;;;;;;4;4;4;4;5;6;5;3;4;;;;;78
186;6;7;6;4;5;4;6;;;;;;4;5;3;4;3;5;87
187;;4;4;4;5;5;5;;;;;;;;;;;;81
188;4;4;3;3;;;;;;;;5;4;5;4;5;4;3;77
189;3;5;;;;;;;;;;;;;;;4;5;82
190;3;4;6;;;;;;;;;;;4;4;5;4;4;80
191;5;4;3;4;6;7;3;3;;;;;;;;4;3;4;77
192;;4;4;4;5;4;3;3;4;7;4;5;;;;;;;76
193;;;;;;;;;6;;;;;;;;;;87
194;4;4;4;3;9;4;5;;;;;;4;0;5;4;3;4;82
195;;4;7;4;6;4;7;3;4;6;5;4;3;;;;;;84
196;;;;;;;;;;;;;;;;;;4;81
197;5;5;3;4;7;3;;;;;;;;;;;3;4;78
198;;4;4;3;6;5;4;3;4;6;5;5;3;4;3;5;3;3;74
199;4;4;4;3;5;4;4;3;4;5;4;;;;;;4;5;74
